meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif
Prix du jury,court-métrage,2007,,,,Lyon Asian,,Film Festival,,Lyon,France,Under Construction,Liu,Zhenchen,212,Lyon Asian,,Lyon Asian
Prix Transfera video art,,2009,avril,,,Madatac,,Film Festival,,Madrid,Espagne,Coagulate,Grecu,Mihai,224,Madatac,,Madatac
Best visual-aural interaction,,2011,,,,Madatac,,Film Festival,,Madrid,Espagne,Phone Tapping,Won Lee,Hee,286,Madatac,,Madatac
Prix OVNI,,2010,,,,Média festival,,Film Festival,,Namur,Belgique,Vous êtes vous déjà fait piquer par une abeille morte,Rubin,Jonathan,231,Média festival,,Média festival
Second Pirx,,2010,fevrier,,,Médiacity,,Multimedia festival,,Ontario,Canada,Atlantiques,Diop,Mati,282,Médiacity,,Médiacity
Diploma of merit,,2008,,,,Mediaschool,,Film Festival,,Krakow,Pologne,Un Château en mer,Pfander,Barbel,253,Mediaschool,,Mediaschool
Diploma of merit,,2009,,,,Mediaschool,,Prix annuel,,Lodz,Pologne,Plastic and Glass,Joosse,Tessa,284,Mediaschool,,Mediaschool
RMIT University award,experimental short film,2015,aout,,,Melbourne,,Film Festival,,Melbourne,Australie,Tehran-Geles,Nassiri,Arash,29,Melbourne,,Melbourne
Mention spéciale du jury,,2016,septembre,,,Message to man,,Film Festival,,Saint-Petersbourg,Russie,Isabella Morra,Pagliai,Isabel,574,Message to man,,Message to man
Mention spéciale du jury,,2012,octobre,,,Milan,,Film Festival,,Milan,Italie,Fireworks,Abbruzzese,Giacomo,380,Milan,,Milan
Best film,,2020,,01/21/20,01/26/20,Minimalen,,Short Film Festival,,Trondheim,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842,Minimalen,,Minimalen
Mention spéciale du jury,,2009,,,,MiradasDoc,,Film Festival,,Guia de Isora,Espagne,Under Construction,Liu,Zhenchen,212,MiradasDoc,,MiradasDoc
Grand prix du public,,2017,mars,,,Monde en images,,Film Festival,,Cucuron,France,Les habitants du vent,Sarabi,Abtin,562,Monde en images,,Monde en images
Young talent award,,2013,juin,,,Munich,,Film Festival,,Munich,Allemagne,Ce qui me fait prendre le train,Mazingarbe,Pierre,509,Munich,,Munich
Best experimental film,,2008,,,,Naoussa,,Film Festival,,Naoussa,Grèce,Under Construction,Liu,Zhenchen,212,Naoussa,,Naoussa
Mention spéciale du jury,,2008,,,,Non-Budget,,Film Festival,,,Cuba,Under Construction,Liu,Zhenchen,212,Non-Budget,,Non-Budget
"Mention honorable, meilleur court-métrage documentaire",,2019,,06/12/20,06/16/20,Norwegian,,Short Film Festival,,Grimstad,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842,Norwegian,,Norwegian
Silver Scales Award (best direction),,2003,,,,Novo Mesto,,Short Film Festival,,Novo Mesto,Slovénie,Vide pour l'amour,Jayasundera,Vimukthi,,Novo Mesto,,Novo Mesto
Prix de la ville,,2011,mai,,,Oberhausen,,Film Festival,,Oberhausen,Allemagne,Sans titre,Beloufa,Neil,332,Oberhausen,Oberhausen,Oberhausen
Artistic contribution award,,2014,juin,,,Olhar de Cinema,,Film Festival,,Curitiba,Brésil,Que je tombe tout le temps ?,Williams,Eduardo,524,Olhar de Cinema,,Olhar de Cinema
Best video,,2008,,,,Oslo Screen,,Film Festival,,Oslo,Norvège,Coagulate,Grecu,Mihai,224,Oslo Screen,,Oslo Screen
Grand Prix,,2010,octobre,,,Oslo Screen,,Film Festival,,Oslo,Norvège,Planet A,Seto,Momoko,256,Oslo Screen,,Oslo Screen
Mention spéciale,,2008,,,,Ourense,,Film Festival,,,Espagne,Under Construction,Liu,Zhenchen,212,Ourense,,Ourense
Meilleur court métrage,,2014,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,La Grenouille et dieu,Furtado,Alice,497,PAFF,,PAFF
Meilleure actrice,,2014,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,La Grenouille et dieu,Furtado,Alice,497,PAFF,,PAFF
Meilleur court-métrage,,2015,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,"Archipels, granites dénudées",Hérétakis,Daphné,12,PAFF,,PAFF
Best student short (deuxième),,2014,mars,,,Palm Springs,,Short Film Festival,,Palm Springs,Etats-Unis,Gli immacolati,Trocker,Ronny,522,Palm Springs,Palm Springs,Palm Springs
Mention spéciale du jury,,2017,juin,,,Palm Spring,,Film Festival,,Palm Spring,Etats-Unis,"I made you, I kill you",Petru Badelita,Alexandru,658,Palm Spring,Palm Springs,Palm Springs
Prix du jury,,2009,mars,,,Panorama du cinéma du Maghreb,,Film Festival,,Saint-Denis,France,Abena,El Kamel,Amel,240,Panorama du cinéma du Maghreb,,Panorama du cinéma du Maghreb
Prix spécial du jury,première création,2014,janvier,,,Pointdoc,,International Documentary Film Festival,,,Espagne,La mariée,Curtz,Joël,476,Pointdoc,,Pointdoc
Prix du jury lycéen,,2014,décembre,,,Poitiers,,Film Festival,,Poitiers,France,Tehran-Geles,Nassiri,Arash,29,Poitiers,,Poitiers
Grand Prix,,2018,,11/29/20,12/06/20,Poitiers,,Film Festival,,Poitiers,France,All movements should kill the wind,Wang,Yuyan,1211,Poitiers,,Poitiers
Mention spéciale du jury,,2004,,,,Premières fois,,Film Festival,,Grasse,France,A l'ami imaginé,Pernot,Laurent,,Premières fois,,Premières fois
Grand prix du jury,,2006,,,,Premiers plans,,Film Festival,,Angers,France,La Plaine,Edzard,Roland,,Premiers plans,Premiers Plans,Premiers Plans – Angers film festival
Prix des étudiants d'Angers,,2012,janvier,,,Premiers plans,,Film Festival,,Tremblay,France,Fireworks,Abbruzzese,Giacomo,380,Premiers plans,Premiers Plans,Premiers Plans – Angers film festival
Prix Edward Steichen,,2009,,,,Prix Edward Steichen,,Prix annuel,,,Luxembourg,Carrière complète,Bak,Bertille,,Prix Edward Steichen,,Prix Edward Steichen
Prix Médiatine,,2012,,,,Prix Médiatine,,Prix annuel,Centre Wallonie Bruxelles,Bruxelles,Belgique,Cabinet d'affects,Van der Auwera,Emmanuel,372,Prix Médiatine,,Prix Médiatine
Meilleur film,,2015,mars,,,Punto de Vista,,Film Festival,,Pampelune,Espagne,Echo chamber,Moncayo,Guillermo,17,Punto de Vista,,Punto de Vista
Grand Prix meilleur film,,2019,,03/11/20,03/16/20,Punto de Vista,,International Documentary Film Festival,,Pampelune,Espagne,Una Luna de hierro,Rodriguez,Francisco,785,Punto de Vista,,Punto de Vista
Best Film,My shorts competion,2019,,09/20/20,09/28/20,Queer Lisboa,,,,Lisbonne,Portugal,Constanza,Liebenthal,Melisa,844,Queer Lisboa,,Queer Lisboa
Meilleure fiction,,2012,avril,,,Recontres cinéma-nature,,Film Festival,,Dompierre-sur-Besbre,France,Fireworks,Abbruzzese,Giacomo,380,Recontres cinéma-nature,,Recontres cinéma-nature
Prix des cinéphiles,,2013,mai,,,Recontres cinématographiques,,Film Festival,,Digne-les-Bains,France,Jeanne,Reymond,Dania,464,Recontres cinématographiques,,Recontres cinématographiques
Mention spéciale du jury,documentaire,2019,,03/13/20,03/17/20,Regard,,Film Festival,,Saguenay,Canada,Swatted,Joffroy Chandoutis,Ismaël,842,Regard,Regard,Regard
Prix spécial du jury,,2014,septembre,,,Regards au Longs-Courts,,Film Festival,,Trouville,France,Gli immacolati,Trocker,Ronny,522,Regards au Longs-Courts,,Regards au Longs-Courts
Prix du public,,2014,septembre,,,Regards au Longs-Courts,,Film Festival,,Trouville,France,La mariée,Curtz,Joël,476,Regards au Longs-Courts,,Regards au Longs-Courts
Prix de la ville de Regensburg,,2018,,,,Regensburg,,Film Festival,,Regensburg,Allemagne,Ondes noires,Joffroy Chandoutis,Ismaël,770,Regensburg,,Regensburg
Prix Découverte,,2007,,,,Rencontres d'Arles,,photography festival,,Arles,France,,Henno,Laura,,Rencontres d'Arles,,Rencontres d'Arles
Second prix,premiers films documentaire,2018,,03/14/20,03/20/20,Rencontres du cinéma européen,,Film Festival,,Vannes,France,Retour,Huang,Pang-Chuan,764,Rencontres du cinéma européen,,Rencontres du cinéma européen
Prix du jury étudiant,,2008,,,,Rencontres Henri Langlois,,Film Festival,,Poitiers,France,Brises,Ramirez,Enrique,238,Rencontres Henri Langlois,,Rencontres Henri Langlois
Mention spéciale photographie,,2006,,,,Rencontres internationales Henri Langlois,,Film Festival,,Poitiers,France,Yeux,Edzard,Roland,75,Rencontres internationales Henri Langlois,,Rencontres internationales Henri Langlois
Meilleur court-métrage,,2014,mars,,,Rencontres internationales sciences et cinéma,,Film Festival,,Marseille,France,Tehran-Geles,Nassiri,Arash,29,Rencontres internationales sciences et cinéma,Rencontres Internationales Sciences Et CinéMas,Rencontres Internationales Sciences Et CinéMas
Meilleur court-métrage,,2016,janvier,,,RIDM,,International Documentary Film Festival,,Montréal,Canada,Isabella Morra,Pagliai,Isabel,574,RIDM,,RIDM
Best short documentary,,2019,,04/10/20,04/14/20,Rincon,,International Film Festival,,Rincon,Porto Rico,Swatted,Joffroy Chandoutis,Ismaël,842,Rincon,,Rincon
Grand Prix,,2016,novembre,,,RISC,,Film Festival,,Marseille,France,"I made you, I kill you",Petru Badelita,Alexandru,658,RISC,,RISC
Mention spéciale du jury,,2017,mars,,,RISC,,Film Festival,,Marseille,France,Ciudad Maya,Padilla Domene,Andrès,680,RISC,,RISC
Meilleur film expérimental,,2012,octobre,,,Riviera Maya Underground,,Film Festival,,Playa del Carmen,Mexique,"La Bibliothèque, la nuit",Vieira Torres,Joao,410,Riviera Maya Underground,,Riviera Maya Underground
Tiger Short Award,,2010,février,,,Rotterdam,,Film Festival,,Rotterdam,Pays-Bas,Atlantiques,Diop,Mati,282,Rotterdam,,Rotterdam
Mention spécial,,2016,janvier-février,,,Rotterdam,,Film Festival,,Rotterdam,Pays-Bas,Le Park,Maroufi,Randa,16,Rotterdam,,Rotterdam
Mention spéciale EcoFilm,,2016,septembre,,,Rural Film Fest,,Film Festival,,El Eden de la Mancha,Espagne,Focus on infinity,Lavenne,Mathilde,584,Rural Film Fest,,Rural Film Fest
Meilleur réalisateur,cinéma chilien,2010,,,,SANFIC,,Film Festival,,Santiago,Chili,La Quemadura,Ballesteros,René,278,SANFIC,,SANFIC
Mention honorifique,,2012,,,,Santa Maria da Feira,,Film Festival,,,Brésil,Version française,Da-Rin,Maya,411,Santa Maria da Feira,,Santa Maria da Feira
Best experimental work,,2010,octobre,,,Santa-Cruz,,Film Festival,,Santa-Cruz,Etats-Unis,Plastic and Glass,Joosse,Tessa,284,Santa-Cruz,,Santa-Cruz
Best documentary,,2007,,,,Santiago,,Short Film Festival,,Santiago,Chili,Under Construction,Liu,Zhenchen,212,Santiago,,Santiago
Best short film,,2007,,,,Sao Paulo,,Short Film Festival,,Sao Paulo,Brésil,Under Construction,Liu,Zhenchen,212,Sao Paulo,,Sao Paulo
Best experimental film,,2008,,,,Sapporo,,Short Film Festival,,Sapporo,Japon,Under Construction,Liu,Zhenchen,212,Sapporo,,Sapporo
Best documentary,,2019,,10/16/20,10/20/20,Sapporo,,Short Film Festival,,Sapporo,Japon,Swatted,Joffroy Chandoutis,Ismaël,842,Sapporo,,Sapporo
Prix de l'œuvre numérique,,2012,,,,Scam*,,Gala,,Paris,France,Manque de preuves,Kwon,Hayoun,396,Scam*,,Scam*
Prix jeune talent numérique,,2014,janvier,,,Scam*,,Gala,Cent-Quatre,Paris,France,Gli immacolati,Trocker,Ronny,522,Scam*,,Scam*
Prix jeune talent numérique,,2015,janvier,,,Scam*,Arte,Gala,Cent-Quatre,Paris,France,Cuisine américaine,Pluvinage,Justine,570,Scam*,,Scam*
Prix jeune talent numérique,,2015,janvier,,,Scam*,Arte,Gala,Cent-Quatre,Paris,France,Howto,Caravella,Elisabeth,4,Scam*,,Scam*
Prix Emergences,,2019,,01/19/20,01/19/20,Scam*,Open Factory,Gala,Cent-Quatre,Paris,France,Swatted,Joffroy Chandoutis,Ismaël,842,Scam*,,Scam*
Renard d'argent,,2014,février,,,Semaine du cinéma du bureau des Arts de Science Po,,Film Festival,,Paris,France,Ce qui me fait prendre le train,Mazingarbe,Pierre,509,Semaine du cinéma du bureau des Arts de Science Po,,Semaine du cinéma du bureau des Arts de Science Po
Exis Award,,2009,juillet,,,Seoul,,Experimental Film Festival,,Seoul,Corée du Sud,Coagulate,Grecu,Mihai,224,Seoul,,Seoul
Igong - new artist,,2014,janvier,,,Seoul media,,Multimedia festival,,Séoul,Corée du Sud,Gli immacolati,Trocker,Ronny,522,Seoul media,,Seoul media
Prix spécial du jury,,2006,,,,Short shorts,,Film Festival,,Tokyo,Japon,Resonance of tears,Watanabe,Atsuhiko,,Short shorts,,Short shorts
Meilleur court-métrage,,2016,,,,Short the point,,Film Festival,,,Roumanie,Isabella Morra,Pagliai,Isabel,574,Short the point,,Short the point
Mention honorable,Urban View,2016,mars,,,Short Waves,,Short Film Festival,,Poznan,Pologne,Le Park,Maroufi,Randa,16,Short Waves,Short Waves,Short Waves
Prix de la danse avec caméra,,2017,,03/21/20,03/26/20,Short Waves,,Short Film Festival,,Poznan,Pologne,Tact,Le Maguer,Thibaud,676,Short Waves,Short Waves,Short Waves
best student film,experimental,2016,mai-juin,,,ShortCut,,Short Film Festival,,Bucarest,Roumanie,Laughter far away,Golder,Ewan,669,ShortCut,,ShortCut
Edward Snowden Award,,2019,,06/22/20,06/30/20,Signes de Nuit,,Film Festival,,,Thailande,Swatted,Joffroy Chandoutis,Ismaël,842,Signes de Nuit,,Signes de Nuit
Mention spéciale,,2008,,,,Sleepwalkers,,Short Film Festival,,,Estonie,Coagulate,Grecu,Mihai,224,Sleepwalkers,Sleepwalkers,Sleepwalkers
Best documentary,,2019,,09/06/20,09/09/20,Smalls,,Film Festival,,Londres,Royaume-Unis,Swatted,Joffroy Chandoutis,Ismaël,842,Smalls,,Smalls
Grand prix nouveau média,,2004,,,,Split,,Multimedia festival,,Split,Croatie,Shimmy shimmy grass,Dimnet,Morgan,,Split,,Split
Best experimental film award,,2004,,,,Strange Screen,,Film Festival,,Thessalonique,Grèce,Plus tard,,,,Strange Screen,,Strange Screen
Best Film,,2020,,01/16/20,01/19/20,Stuttgarter film winter,,Film Festival,,Stuttgart,Allemagne,Omarska,Sasindran,Varun,855,Stuttgarter film winter,Stuttgarter Filmwinter,Stuttgarter Filmwinter
Mention spéciale,,2011,juillet,,,Summer Corto café Festival,,Film Festival,,Tarente,Italie,La mécanique de la grive,Piccino,Rossellla,348,Summer Corto café Festival,,Summer Corto café Festival
Prix Doc Lounge,documentaire,2019,,03/13/20,03/17/20,Sundsvall Film Fest,,Film Festival,,Sundsvall,Suède,Swatted,Joffroy Chandoutis,Ismaël,842,Sundsvall Film Fest,,Sundsvall Film Fest
Mention spéciale meilleur montage,,2009,octobre,,,Sur les pas de mon oncle,,Film Festival,,Saint-Maur,France,Un Château en mer,Pfander,Barbel,253,Sur les pas de mon oncle,,Sur les pas de mon oncle
New Amerika price,,2014,juin,,,Szczecin European,,Film Festival,,Szczecin,Pologne,Gli immacolati,Trocker,Ronny,522,Szczecin European,,Szczecin European
meilleur film expérimental,,2016,juillet,,,Tabor,,Film Festival,Châeau de Tabor,Tabor,Croatie,Le Park,Maroufi,Randa,16,Tabor,,Tabor
Diploma of merit,,2009,mars,,,Tampere,,Film Festival,,,Finlande,Planet A,Seto,Momoko,256,Tampere,Tampere,Tampere
1er prix,,2010,,,,Télésorbonne,,Film Festival,,Paris,France,Plastic and Glass,Joosse,Tessa,284,Télésorbonne,,Télésorbonne
"Mention spéciale, prix lycéen",,2010,mars,,,Terra du Cinéma,,Film Festival,,Tremblay,France,La mécanique de la grive,Piccino,Rossellla,348,Terra du Cinéma,,Terra du Cinéma
Prix du jury professionnel,,2012,mars,,,Terra du Cinéma,,Film Festival,,Tremblay,France,Fireworks,Abbruzzese,Giacomo,380,Terra du Cinéma,,Terra du Cinéma
Mention spéciale du jury,,2018,,02/15/20,06/02/20,TIDF,,International Documentary Film Festival,,Taipei,Taïwan,Retour,Huang,Pang-Chuan,764,TIDF,,TIDF
Meilleur court-métrage,,2016,juillet,,,Toko Film,,Film Festival,,,Italie,Le Park,Maroufi,Randa,16,Toko Film,,Toko Film
Excellence Award,,2009,,,,Tokyo Video,,Film Festival,,Tokyo,Japon,Under Construction,Liu,Zhenchen,212,Tokyo Video,,Tokyo Video
Best short film,,2012,novembre,,,Toronto Reel Asian,,Film Festival,,Toronto,Canada,Manque de preuves,Kwon,Hayoun,396,Toronto Reel Asian,,Toronto Reel Asian
Prix du jury,,2007,,,,TRUNK,,Film Festival,,,Suède,Under Construction,Liu,Zhenchen,212,TRUNK,,TRUNK
Meilleur film,italiana corti,2010,novembre,,,Turin,,Film Festival,,Turin,France,Archipel,Abbruzzese,Giacomo,327,Turin,,Turin
Premio Avanti,,2010,novembre,,,Turin,,Film Festival,,Turin,France,Archipel,Abbruzzese,Giacomo,327,Turin,,Turin
Mention spéciale pour la direction artisitique,,2007,,,,Unimovie,,Film Festival,,,Italie,Under Construction,Liu,Zhenchen,212,Unimovie,,Unimovie
Meilleur court-métrage,,2010,décembre,,,Valpolicella,,Film Festival,,San Pietro in Cariano,Italie,La mécanique de la grive,Piccino,Rossellla,348,Valpolicella,,Valpolicella
Prix spécial du jury,,2008,,,,Vendôme,,Film Festival,,Vendôme,France,Visités,Cogitore,Clément,220,Vendôme,,Vendôme
Videobrasil residency price,,2014,,,,Videobrasil,association,Prix annuel,,Sao Paulo,Brésil,Tomo,Diallo,Bakary,442,Videobrasil,,Videobrasil
2 ème prix Création vidéo,,2004,,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Bufferzone,Najari,Samer,,Vidéoformes,,Vidéoformes
"Prix IUP métiers du livre et multisupport, Université Blaise Pascal",,2005,,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Compétent dans sa branche,Bosson,Olivier,,Vidéoformes,,Vidéoformes
Prix IUP multisupports de l'Université Blaise Pascal,,2006,,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Ligne Verte,Mareshal,Laurent,72,Vidéoformes,,Vidéoformes
Prix de la création vidéo,,2008,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Unlith,Grecu,Mihai,198,Vidéoformes,,Vidéoformes
Mention spéciale du jury,,2009,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Coagulate,Grecu,Mihai,224,Vidéoformes,,Vidéoformes
Grand Prix,,2012,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Deuxième bureau,Bao,Lixin,383,Vidéoformes,,Vidéoformes
Prix de la Ville,,2013,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Sing-Under,Seo,Jung-Hee,467,Vidéoformes,,Vidéoformes
Coup de cœur Arte creative,,2014,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Darakchiev,Jivko,Fuite,489,Vidéoformes,,Vidéoformes
Prix université Blaise Pascal,,2015,mars,,,Vidéoformes,,Film Festival,,Clermont-Ferrand,France,Tehran-Geles,Nassiri,Arash,29,Vidéoformes,,Vidéoformes
Prix du jury professionnel,,2019,,03/14/20,03/17/20,Vidéoformes,,Multimedia festival,,Clermont-Ferrand,France,Swatted,Joffroy Chandoutis,Ismaël,842,Vidéoformes,,Vidéoformes
Grand Prix,,2010,novembre,,,Vidéogr@phie[s],,Film Festival,,Liège,Belgique,Phone Tapping,Won Lee,Hee,286,Vidéogr@phie[s],,Vidéogr@phie[s]
Videonale Award,fluentum collection,2017,fevrier,,,Videonale,,Film Festival,,Bonn,Allemagne,Le Park,Maroufi,Randa,16,Videonale,,Videonale
1er prix,,2009,mars,,,Vidéorformes,,Film Festival,,Clermont-Ferrand,France,Naufrage,Durand,Clorinde,254,Vidéorformes,,Vidéorformes
Grand Prix fiction,,2003,,,,Vila do Conde,,Film Festival,,Vila do Conde,Portugal,Le pont n'est plus là,Ming-Liang,Tsaï,,Vila do Conde,,Vila do Conde
Meilleur court-métrage,jury étudiant,2018,,10/02/20,10/07/20,War on screen,,Film Festival,,Châlon-en-Champagne,France,Retour,Huang,Pang-Chuan,764,War on screen,,War on screen
New Talent (seconde position),,2019,,10/23/20,10/27/20,Wiesbaden,,International Animation Festival,,Wiesbaden,Allemagne,Swatted,Joffroy Chandoutis,Ismaël,842,Wiesbaden,,Wiesbaden
Mention honorable,,2017,mai,,,Vidéo Brasil,,Film Festival,,Sao Paulo,Brésil,Ciudad Maya,Padilla Domene,Andrès,680,,,Videobrasil
