,meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif,event_id,place_id,artist_id,aw_art_valid
174,Mention spéciale du jury,,2016,septembre,,,Message to man,,Film Festival,,Saint-Petersbourg,Russie,Isabella Morra,Pagliai,Isabel,574,Message to man,,Message to man,1647,301,544,
175,Mention spéciale du jury,,2012,octobre,,,Milan,,Film Festival,,Milan,Italie,Fireworks,Abbruzzese,Giacomo,380,Milan,,Milan,1649,127,238,
176,Best film,,2020,,01/21/20,01/26/20,Minimalen,,Short Film Festival,,Trondheim,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842,Minimalen,,Minimalen,1651,211,671,
177,Mention spéciale du jury,,2009,,,,MiradasDoc,,Film Festival,,Guia de Isora,Espagne,Under Construction,Liu,Zhenchen,212,MiradasDoc,,MiradasDoc,1653,302,160,
178,Grand prix du public,,2017,mars,,,Monde en images,,Film Festival,,Cucuron,France,Les habitants du vent,Sarabi,Abtin,562,Monde en images,,Monde en images,1655,303,546,False
179,Young talent award,,2013,juin,,,Munich,,Film Festival,,Munich,Allemagne,Ce qui me fait prendre le train,Mazingarbe,Pierre,509,Munich,,Munich,1657,163,302,
180,Best experimental film,,2008,,,,Naoussa,,Film Festival,,Naoussa,Grèce,Under Construction,Liu,Zhenchen,212,Naoussa,,Naoussa,1659,153,160,
181,Mention spéciale du jury,,2008,,,,Non-Budget,,Film Festival,,,Cuba,Under Construction,Liu,Zhenchen,212,Non-Budget,,Non-Budget,1661,304,160,
182,"Mention honorable, meilleur court-métrage documentaire",,2019,,06/12/20,06/16/20,Norwegian,,Short Film Festival,,Grimstad,Norvège,Swatted,Joffroy Chandoutis,Ismaël,842,Norwegian,,Norwegian,1663,132,671,
183,Silver Scales Award (best direction),,2003,,,,Novo Mesto,,Short Film Festival,,Novo Mesto,Slovénie,Vide pour l'amour,Jayasundera,Vimukthi,,Novo Mesto,,Novo Mesto,1665,305,,
184,Prix de la ville,,2011,mai,,,Oberhausen,,Film Festival,,Oberhausen,Allemagne,Sans titre,Beloufa,Neil,332,Oberhausen,Oberhausen,Oberhausen,1666,117,243,
185,Artistic contribution award,,2014,juin,,,Olhar de Cinema,,Film Festival,,Curitiba,Brésil,Que je tombe tout le temps ?,Williams,Eduardo,524,Olhar de Cinema,,Olhar de Cinema,1668,306,316,
187,Best video,,2008,,,,Oslo Screen,,Film Festival,,Oslo,Norvège,Coagulate,Grecu,Mihai,224,Oslo Screen,,Oslo Screen,1671,307,176,
186,Grand Prix,,2010,octobre,,,Oslo Screen,,Film Festival,,Oslo,Norvège,Planet A,Seto,Momoko,256,Oslo Screen,,Oslo Screen,1670,307,189,
188,Mention spéciale,,2008,,,,Ourense,,Film Festival,,,Espagne,Under Construction,Liu,Zhenchen,212,Ourense,,Ourense,1673,248,160,
191,Meilleur court-métrage,,2015,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,"Archipels, granites dénudées",Hérétakis,Daphné,12,PAFF,,PAFF,1676,308,,
189,Meilleur court métrage,,2014,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,La Grenouille et dieu,Furtado,Alice,497,PAFF,,PAFF,1675,308,15,
190,Meilleure actrice,,2014,décembre,,,PAFF,,Film Festival,,Pancevo,Serbie,La Grenouille et dieu,Furtado,Alice,497,PAFF,,PAFF,1675,308,15,
193,Best student short (deuxième),,2014,mars,,,Palm Springs,,Short Film Festival,,Palm Springs,Etats-Unis,Gli immacolati,Trocker,Ronny,522,Palm Springs,Palm Springs,Palm Springs,1678,126,309,
192,Mention spéciale du jury,,2017,juin,,,Palm Spring,,Film Festival,,Palm Spring,Etats-Unis,"I made you, I kill you",Petru Badelita,Alexandru,658,Palm Spring,Palm Springs,Palm Springs,1677,309,529,
194,Prix du jury,,2009,mars,,,Panorama du cinéma du Maghreb,,Film Festival,,Saint-Denis,France,Abena,El Kamel,Amel,240,Panorama du cinéma du Maghreb,,Panorama du cinéma du Maghreb,1680,310,173,
195,Prix spécial du jury,première création,2014,janvier,,,Pointdoc,,International Documentary Film Festival,,,Espagne,La mariée,Curtz,Joël,476,Pointdoc,,Pointdoc,1682,248,292,
197,Prix du jury lycéen,,2014,décembre,,,Poitiers,,Film Festival,,Poitiers,France,Tehran-Geles,Nassiri,Arash,29,Poitiers,,Poitiers,1685,44,34,
196,Grand Prix,,2018,,11/29/20,12/06/20,Poitiers,,Film Festival,,Poitiers,France,All movements should kill the wind,Wang,Yuyan,1211,Poitiers,,Poitiers,1684,44,1134,
198,Mention spéciale du jury,,2004,,,,Premières fois,,Film Festival,,Grasse,France,A l'ami imaginé,Pernot,Laurent,,Premières fois,,Premières fois,1687,311,,
199,Prix des étudiants d'Angers,,2012,janvier,,,Premiers plans,,Film Festival,,Tremblay,France,Fireworks,Abbruzzese,Giacomo,380,Premiers plans,Premiers Plans,Premiers Plans – Angers film festival,1689,312,238,
200,Grand prix du jury,,2006,,,,Premiers plans,,Film Festival,,Angers,France,La Plaine,Edzard,Roland,,Premiers plans,Premiers Plans,Premiers Plans – Angers film festival,1690,16,,
201,Prix Edward Steichen,,2009,,,,Prix Edward Steichen,,Prix annuel,,,Luxembourg,Carrière complète,Bak,Bertille,,Prix Edward Steichen,,Prix Edward Steichen,1692,313,,
