meta_award_label,meta_award_label_details,event_year,event_month,event_start_date,event_end_date,event_title,Unnamed: 7,event_type,Unnamed: 9,place_city,place_country,artwork_title,artist_lastname,artist_firstname,artwork_id,NomFichier,NomKart,NomDefinitif,event_id,place_id
Best Film,,2020,,01/16/20,01/19/20,Stuttgarter film winter,,Film Festival,,Stuttgart,Allemagne,Omarska,Sasindran,Varun,855.0,Stuttgarter film winter,Stuttgarter Filmwinter,Stuttgarter Filmwinter,1773.0,93.0
Mention spéciale,,2011,juillet,,,Summer Corto café Festival,,Film Festival,,Tarente,Italie,La mécanique de la grive,Piccino,Rossellla,348.0,Summer Corto café Festival,,Summer Corto café Festival,1775.0,326.0
Prix Doc Lounge,documentaire,2019,,03/13/20,03/17/20,Sundsvall Film Fest,,Film Festival,,Sundsvall,Suède,Swatted,Joffroy Chandoutis,Ismaël,842.0,Sundsvall Film Fest,,Sundsvall Film Fest,1777.0,327.0
Mention spéciale meilleur montage,,2009,octobre,,,Sur les pas de mon oncle,,Film Festival,,Saint-Maur,France,Un Château en mer,Pfander,Barbel,253.0,Sur les pas de mon oncle,,Sur les pas de mon oncle,1779.0,328.0
New Amerika price,,2014,juin,,,Szczecin European,,Film Festival,,Szczecin,Pologne,Gli immacolati,Trocker,Ronny,522.0,Szczecin European,,Szczecin European,1781.0,329.0
meilleur film expérimental,,2016,juillet,,,Tabor,,Film Festival,Châeau de Tabor,Tabor,Croatie,Le Park,Maroufi,Randa,16.0,Tabor,,Tabor,1783.0,330.0
Diploma of merit,,2009,mars,,,Tampere,,Film Festival,,,Finlande,Planet A,Seto,Momoko,256.0,Tampere,Tampere,Tampere,1784.0,331.0
Mention spéciale du jury,,2018,,02/15/20,06/02/20,TIDF,,International Documentary Film Festival,,Taipei,Taïwan,Retour,Huang,Pang-Chuan,764.0,TIDF,,TIDF,1791.0,332.0
Best short film,,2012,novembre,,,Toronto Reel Asian,,Film Festival,,Toronto,Canada,Manque de preuves,Kwon,Hayoun,396.0,Toronto Reel Asian,,Toronto Reel Asian,1797.0,86.0
Prix du jury,,2007,,,,TRUNK,,Film Festival,,,Suède,Under Construction,Liu,Zhenchen,212.0,TRUNK,,TRUNK,1799.0,333.0
Meilleur film,italiana corti,2010,novembre,,,Turin,,Film Festival,,Turin,France,Archipel,Abbruzzese,Giacomo,327.0,Turin,,Turin,1801.0,334.0
Meilleur court-métrage,,2010,décembre,,,Valpolicella,,Film Festival,,San Pietro in Cariano,Italie,La mécanique de la grive,Piccino,Rossellla,348.0,Valpolicella,,Valpolicella,1805.0,335.0
Prix spécial du jury,,2008,,,,Vendôme,,Film Festival,,Vendôme,France,Visités,Cogitore,Clément,220.0,Vendôme,,Vendôme,1807.0,336.0
Grand Prix,,2010,novembre,,,Vidéogr@phie[s],,Film Festival,,Liège,Belgique,Phone Tapping,Won Lee,Hee,286.0,Vidéogr@phie[s],,Vidéogr@phie[s],1822.0,337.0
Videonale Award,fluentum collection,2017,fevrier,,,Videonale,,Film Festival,,Bonn,Allemagne,Le Park,Maroufi,Randa,16.0,Videonale,,Videonale,1824.0,338.0
Grand Prix fiction,,2003,,,,Vila do Conde,,Film Festival,,Vila do Conde,Portugal,Le pont n'est plus là,Ming-Liang,Tsaï,,Vila do Conde,,Vila do Conde,1828.0,339.0
Meilleur court-métrage,jury étudiant,2018,,10/02/20,10/07/20,War on screen,,Film Festival,,Châlon-en-Champagne,France,Retour,Huang,Pang-Chuan,764.0,War on screen,,War on screen,1830.0,340.0
New Talent (seconde position),,2019,,10/23/20,10/27/20,Wiesbaden,,International Animation Festival,,Wiesbaden,Allemagne,Swatted,Joffroy Chandoutis,Ismaël,842.0,Wiesbaden,,Wiesbaden,1832.0,341.0
